Característica,Importancia
peso_ambito_secundario,0.14981725067851276
Autopercepción y emociones_conteo_resp,0.059139453689773705
peso_respuesta,0.058511542002108154
Entorno en clase_conteo_resp,0.0502482374267721
Entorno exterior_conteo_resp,0.046322306459880024
Actividades extraescolares_conteo_resp,0.04385101979530117
Académico_conteo_resp,0.03732312967596597
ambito_secundario_Autopercepción y emociones,0.036251326979995696
ambito_secundario_Entorno en clase,0.03280010214851697
General_conteo_resp,0.032104047132165754
ambito_secundario_Entorno exterior,0.028202526206599934
Amigos y relaciones_conteo_resp,0.025216097311154546
ambito_secundario_desconocido,0.0250136382545321
ratio_max_min_conteo,0.024745562759516972
ambito_secundario_Actividades extraescolares,0.023638392084918747
